user_id,gender,married,has_children,age,tenure_months,amount_of_trips,canceled_trips,rooms_avg,nights_avg,hotel_price_avg,hotel_count,seats_avg,flight_price_avg,flight_count,checked_bags_avg,session_duration_avg_sec
531931,1,False,False,40,27,2,0.0,1.5,3.5,714.0,2.0,1.5,1676.63,2.0,0.5,70.875
611065,1,False,False,43,25,4,0.0,1.5,2.25,677.75,4.0,1.5,1790.8725,4.0,0.75,146.75
586762,1,False,False,37,26,3,0.0,1.3333333333333333,7.333333333333333,2140.6666666666665,3.0,1.3333333333333333,762.4966666666666,3.0,0.3333333333333333,116.375
229330,1,True,False,48,33,4,0.0,1.75,2.0,1028.5,4.0,1.75,720.8025,4.0,0.25,119.625
536035,0,False,False,29,27,2,0.0,1.5,1.5,291.0,2.0,1.5,931.7,2.0,0.5,102.75
477730,1,False,False,46,28,5,0.0,1.2,4.6,1470.0,5.0,1.2,973.184,5.0,0.0,171.75
513030,1,False,False,39,27,3,0.0,1.0,5.0,882.6666666666666,3.0,1.0,202.27666666666667,3.0,0.0,91.5
570821,1,True,True,42,26,3,0.0,1.0,3.6666666666666665,414.0,3.0,1.0,482.6233333333333,3.0,0.6666666666666666,88.25
517076,1,False,False,39,27,5,0.0,1.2,7.0,941.0,5.0,1.0,459.085,2.0,0.0,196.75
585248,1,True,True,49,26,1,0.0,1.0,2.0,242.0,1.0,1.0,394.55,1.0,0.0,81.875
539267,1,True,False,43,27,2,0.0,2.0,1.0,175.5,2.0,2.0,379.435,2.0,0.5,87.375
611954,1,False,False,44,25,4,0.0,1.0,2.25,512.0,4.0,1.0,187.13,4.0,0.75,125.5
577541,1,False,False,35,26,3,1.0,1.0,3.0,363.0,2.0,1.0,199.485,2.0,1.0,158.333333333
524607,1,True,False,37,27,5,0.0,1.0,3.6666666666666665,934.3333333333334,3.0,1.0,654.434,5.0,0.6,120.5
549579,1,False,False,44,26,1,0.0,1.0,3.0,348.0,1.0,1.0,183.7,1.0,0.0,70.625
547266,1,True,False,56,26,3,0.0,1.3333333333333333,2.6666666666666665,551.3333333333334,3.0,1.5,776.0049999999999,2.0,1.0,110.375
532119,1,True,False,53,27,6,0.0,1.0,4.6,696.0,5.0,1.5,1313.9633333333334,6.0,0.16666666666666666,144.75
562032,1,False,False,23,26,2,0.0,1.5,7.5,2180.0,2.0,,,0.0,,110.75
545879,1,False,False,27,26,3,1.0,1.0,2.5,532.0,2.0,1.0,420.6,2.0,0.0,119.166666666
630176,1,True,True,53,25,1,0.0,1.0,1.0,108.0,1.0,1.0,597.57,1.0,0.0,176.75
517324,1,True,False,70,27,1,0.0,,,,0.0,1.0,472.44,1.0,1.0,152.5
539953,0,True,True,36,27,2,0.0,1.0,3.5,626.0,2.0,1.0,296.695,2.0,0.0,94.875
577944,1,True,False,70,26,1,0.0,2.0,6.0,876.0,1.0,,,0.0,,80.875
565601,0,True,True,51,26,0,0.0,,,,0.0,,,0.0,,73.375
531109,1,True,True,50,27,4,0.0,1.0,2.0,203.0,4.0,1.0,240.4775,4.0,1.0,126.25
555478,1,False,False,30,26,3,0.0,1.0,5.333333333333333,1351.3333333333333,3.0,1.3333333333333333,906.3033333333334,3.0,0.3333333333333333,130.875
528158,1,True,False,51,27,3,0.0,1.0,4.0,524.0,1.0,1.0,318.9166666666667,3.0,0.3333333333333333,113.75
629952,1,False,False,46,25,3,0.0,1.3333333333333333,2.0,566.3333333333334,3.0,1.3333333333333333,702.9633333333333,3.0,0.6666666666666666,214.5
521708,1,True,False,48,27,4,0.0,1.0,5.0,556.6666666666666,3.0,1.0,285.3325,4.0,0.75,162.625
520265,1,True,True,43,27,5,0.0,1.0,5.8,893.4,5.0,1.0,581.515,4.0,0.25,110.375
512831,1,False,False,45,27,4,0.0,1.0,2.5,711.0,2.0,2.0,2579.286666666667,3.0,1.0,104.75
548123,0,True,True,48,26,0,0.0,,,,0.0,,,0.0,,59.5
586811,1,False,True,43,26,4,0.0,1.0,2.5,363.5,2.0,1.0,172.67000000000002,4.0,0.5,87.444444444
527346,1,True,False,47,27,3,0.0,2.5,2.5,740.0,2.0,2.0,2373.2266666666665,3.0,0.3333333333333333,161.875
515516,0,True,False,35,27,0,0.0,,,,0.0,,,0.0,,117.875
585492,1,False,False,46,26,1,0.0,1.0,3.0,180.0,1.0,1.0,682.21,1.0,0.0,103.5
553985,1,False,False,37,26,3,1.0,1.0,4.0,138.0,2.0,1.0,461.7,2.0,0.0,104.833333333
528281,1,False,False,53,27,5,0.0,1.6,4.6,998.0,5.0,1.6666666666666667,1139.6933333333334,3.0,0.3333333333333333,111.25
523395,1,False,False,33,27,3,0.0,1.0,3.3333333333333335,907.3333333333334,3.0,1.0,442.26,3.0,1.3333333333333333,158.5
